sr_no,State,NS_Roads,NS_Road_Length_Km,NS_Adjusted_Length_Km,NS_LSBs,Sanctioned_Cost_Cr,Actual_Cost_Cr,Completed_Roads,Completed_Road_Length_Km,Completed_LSBs,Balance_Roads,Balance_Road_Length_Km,Balance_LSBs,Balance_Roads_2,Balance_Road_Length_Km_2,Balance_LSBs_2,Expenditure_Cr
1,Andaman And Nicobar,133,374,370,0,314,314,90,150,0,43,220,0,22,134,0,77
2,Andhra Pradesh,5667,21074,20427,430,9425,8879,5200,18807,315,467,1621,115,170,450,31,7116
3,Arunachal Pradesh,1664,16789,16720,328,14067,14124,1449,14991,263,215,1729,65,0,0,5,11405
4,Assam,10027,34434,34254,1528,24169,25299,9170,32237,1432,857,2017,96,530,1041,45,23228
5,Bihar,18763,65582,63269,2084,41943,38062,18584,62776,1835,179,493,249,1,2,1,37130
6,Chhattisgarh,10493,50814,49522,660,23269,22467,9095,44886,509,1398,4636,151,10,48,10,18646
7,Goa,80,218,218,2,114,102,70,155,0,10,63,2,69,153,2,0
8,Gujarat,5016,15875,15677,272,6065,5813,4814,15464,226,202,213,46,194,202,0,5580
9,Haryana,773,8111,8044,18,3719,3283,771,8042,18,2,2,0,0,0,0,3281
10,Himachal Pradesh,4170,26506,26049,145,13697,13391,3687,23480,109,483,2569,36,41,172,0,10185
11,Jammu And Kashmir,4083,24182,23747,305,22601,21960,3336,19884,260,747,3863,45,256,1466,1,13755
12,Jharkhand,8584,34885,34227,974,17625,16688,7915,32038,748,669,2190,226,156,367,127,14899
13,Karnataka,4454,24262,24092,164,8178,8531,4416,24008,160,38,84,4,0,0,0,8474
14,Keralam,1793,5264,5224,15,3199,3280,1658,4839,4,135,385,11,1,5,0,2910
15,Ladakh,196,1659,1547,3,1367,1213,155,1395,3,41,153,0,0,0,0,1006
16,Madhya Pradesh,22350,97903,94642,1748,41508,37847,20570,91042,1682,1780,3600,66,1154,2524,1,34674
17,Maharashtra,7092,34571,33849,1171,15479,15493,6818,32978,1030,274,871,141,36,96,62,14516
18,Manipur,2017,12480,12465,244,6438,6136,1781,10914,168,236,1552,76,96,772,34,4795
19,Meghalaya,1314,5949,5901,162,4465,4460,1214,5358,108,100,542,54,0,0,0,3723
20,Mizoram,367,4935,4912,7,3412,3420,349,4640,0,18,272,7,0,0,0,2946
21,Nagaland,474,5465,5465,77,2848,2849,345,4363,53,129,1102,24,75,538,24,1543
22,Odisha,18790,76427,73840,707,36030,35804,17774,71778,663,1016,2062,44,828,1709,0,33713
23,Puducherry,72,174,172,0,97,107,30,89,0,42,83,0,3,8,0,68
24,Punjab,1503,11555,11501,74,6578,6075,1417,10844,36,86,657,38,3,24,3,5220
25,Rajasthan,19370,81469,79132,74,22547,19454,18134,76233,71,1236,2899,3,21,59,0,17418
26,Sikkim,1138,5602,5527,126,3742,3776,979,4923,90,159,603,36,96,384,0,2678
27,Tamil Nadu,10367,26646,26461,214,11084,10819,10336,26375,197,31,86,17,0,0,0,10717
28,Telangana,3547,14503,14151,549,6512,6401,3308,13137,437,239,1014,112,27,76,22,5482
29,Tripura,1689,6441,6249,66,4684,4599,1398,5127,55,291,1121,11,97,168,0,3590
30,Uttar Pradesh,21124,77419,76177,17,33359,30070,21041,75764,17,83,413,0,1,7,0,29634
31,Uttarakhand,2809,23824,23540,375,14049,13874,2490,21905,332,319,1635,43,162,1098,5,11633
32,West Bengal,8203,41669,41303,105,22339,20433,7460,39232,54,743,2071,51,438,777,45,18448
